1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
			Biodome, a Biodome Wall	(5,29) Field, a Field	(6,29) Field, a Field	(7,29) Cropland, a Cropland	(8,29) Cropland, a Cropland	(9,29) Inventory Collections, a Warehouse	(10,29) Parts Depot, Junkyard	(11,29) The Quickway, a Bridge	(12,29) Sunburst Coffee, a Coffee Shop	(13,29) Incident Control Team, a Fire Station	(14,29) Cropland, a Cropland	(15,29) Field, a Field	(16,29) Field, a Field	(17,29) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(22, 29) Grassland, a Grassland	(23,29) Percy Junkyard, a Junkyard	(24, 29) Percy Junkyard, a Junkyard	(26, 29) Percy Junkyard Processing, a Warehouse	(27, 29) Percy Junkyard Processing, a Warehouse	(27, 29) Percy Junkyard Processing, a Warehouse	(28, 29) Redstart, Grosbeak & Loon, an Office Building	(29, 29) The Creaky Cupboard, a Corner Store	(30, 29) Fulgens 7, an Office Building	(31, 29) Worthy Court Consulting, an Office Building	(32, 29) Backwash, a Bar	(33, 29) Leagues Parking, a Parking Garage	(34, 29) Top Fin, a Factory	(35, 29) Midden Park, a Park	(36, 29) Musk Launch, a Docks	(37, 29) First Mate's Pass, a Bridge	Lake	Lake	Lake	Lake	Lake	Lake	Lake	(45, 29) The Mazaro Span, a Bridge	(46, 29) Beach, a Beach	(47, 29) Roseway Park, a Park	(48, 29) Tumbledown Street, a Townhouse	(49, 29) Shaw Dorms, a Dormitory	(50, 29) Roy Dorms, a Dormitory	(51, 29) School of Medicine, an University	University	Dormitory	(54, 29), Museum	University	(56, 29) Performance Arts, an University	(57, 29) Administrative Building, an Office Building	(58, 29) Ghibbeline Hills, a Mountain	(59, 29) Brook Street, a House	(60, 28) Apple Orchard, an Apple Orchard	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	(5,30) Field, a Field	(6,30) Field, a Field	(7,30) Cropland, a Cropland	(8,30) Cropland, a Cropland	(9,30) Cropland, a Cropland	(10,30) Equipment Depot Two, a Gravel Parking Lot	(11,30) The Quickway, a Bridge	(12,30) Doorsfeldt Designs, an Office Building	(13,30) Lagoon Brewing, a Bar	(14,30) Cropland, a Cropland	(15,30) Cropland, a Cropland	(16,30) Cropland, a Cropland	(17,30) Cropland, a Cropland	(18,30) Cropland, a Cropland	(19,30) Cropland, a Cropland	(20,30) Cropland, a Cropland	(21,30) Cropland, a Cropland	(22,30) Grassland, a Grassland	(23,30) Grassland, a Grassland	(24,30) Origins, a Factory	(25, 30) Percy Junkyard, a Junkyard	(26, 30) Percy Junkyard Processing, a Warehouse	(27, 30) ReBrand Inc., an Office Building	(28, 30) Valentino's, a Supermarket	(29, 30) Top Fin Corporate Offices, an Office Building	(30, 30) Park It, a Gravel Parking Lot	(31, 30) Assembly Land, a Hardware Store	(32, 30) The Merroir Monger, a Bazaar	(33, 30) The Merroir Monger, a Bazaar	(34, 30) The Merroir Monger, a Bazaar	(35, 30) Midden Park, a Park	(36, 30) Midden Park, a Park	Lake	Lake	Lake	Lake	Lake	Lake	Lake	Lake	Lake	(46,31) Roseway Park, a Park	(47, 30) Roseway Park, a Park	(48, 30) The Disestablishment, a Nightclub	(49, 30) Roseway Plaza, a Hotel	(50, 30) Center for Healthspan, a Hospital	(51, 30) Central Trauma, a Hospital	(52, 30) School of Public Health, an University	Dormitory	Parking Garage	University	(56, 30) Central IT Services, an Office Building	(57, 30) Provost's Center, an Office Building	(58, 30) Ghibbeline Hills, a Mountain	(59, 30) Ghibbeline Hills, a Mountain	(60, 30) Orchard, an Orchard	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	(5,31) Orchard, an Orchard	(6,31) Orchard, an Orchard	(7,31) Orchard, an Orchard	(8,31) Biosphere Lake, a Lake	(9,31), Beach	(10,31) Equipment Depot One, a Parking Garage	(11,31) Control Spire, a Control Spire	(12,31) iNet Industries, an Office Building	(13,31) Bioinnovation Incubator, an Office Building	(14,31) Orchard, an Orchard	(15,31) Orchard, an Orchard	(16,31) Orchard, an Orchard	(17,31) Orchard, an Orchard	(18,31) Field, a Field	(19,31) Field, a Field	(20,31) Field, a Field	(21,31) Orchard, an Orchard	(22,31) Grassland, a Grassland	(23,31) Grassland, a Grassland	(24,31) Grassland, a Grassland	(25,31) Grassland, a Grassland	(26, 31) Grassland, a Grassland	(27, 31) [🅿️ to West Centrum 36, 31; to Great Plains 11, 32] Praxis Transporter, a Transporter	(28, 31) The Quickway, a Bridge	(29, 31) The Quickway, a Bridge	(30, 31) Midden Park, a Park	(31, 31) Midden Park, a Park	(32, 31) Midden Park, a Park	(33, 31) Midden Park, a Park	(34, 31) Midden Park, a Park	(35, 31) Midden Park, a Park	(36, 31) Midden Park, a Park	Lake	Lake	Lake	Agriphila, a Yacht	Lake	Lake (Vortex to 41,31 Centrum)	Lake	(44,31) Upper Panacea, a Lake	(45,31) Upper Panacea, a Lake	(46,31) Roseway Park, a Park	(47,31) Roseway Park, a Park	(48,31) Roseway Park, a Park	(49,31) Roseway Park, a Park	(50,31) Roseway Park, a Park	(51,31) Roseway Park, a Park	a Park	The Quickway, a Bridge	The Quickway, a Bridge	Transporter	(56, 31) Roseway Park, a Grassland	(57, 31) Roseway Park, a Grassland	(58, 31) Cropland, a Cropland	(59, 31) Cropland, a Cropland	(60, 31) Cropland, a Cropland	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	(5,32) Cropland, a Cropland	(6,32) Cropland, a Cropland	(7,32) Biodiversity Site Upsilon, a Hatchery	(8,32) Biosphere Lake, a Lake	(9,32) Biosphere Lake, a Lake	(10,32) Biosphere Lake, a Lake	(11,32) [🅿️ Portal to Praxis 27,31], Great Plains Transporter, a Transporter	(12,32) Aquaculture Processing, a Factory	(13,32) Cropland, a Cropland	(14,32) Cropland, a Cropland	(15,32) Cropland, a Cropland	(16,32) Cropland, a Cropland	(17,32) Cropland, a Cropland	(18,32) Field, a Field	(19,32) Field, a Field	(20,32) Field, a Field	(21,32) Cropland, a Cropland	(22,32) Cropland, a Cropland	(23,32) Cropland, a Cropland	(24,32) Cropland, a Cropland	(25,32) West Quadrant Response Team, a Fire Station	(26,32) Dream Heights, an Apartment Building	(27, 32) Christina Laroundin's, a Shoe Shop	(28, 32) Joiner Industries, a Factory	(29, 32) Saint Christopher's, a Parking Garage	(30, 32) The Quickway, a Bridge	(31, 32) Nash Technical Library, a Library	(32, 32) Walbogs, a Mall	(33, 32) Papa & Mama's Alcove Red, a Bar	(34, 32) Suspiciosa, an Office Building	(35, 32) The Geminella, a Hotel	(36, 32) Midden Park, a Park	Lake	Lake	Lake	Lake	Lake	Lake	(43,32) Upper Panacea, a Lake	(44,32) Upper Panacea, a Lake	(45,32) Upper Panacea, a Lake	(46,32) Roseway Park, a Park	(47,32) Round Robin Bar, a Bar	(48,32) Englert Pizzeria, a Restaurant	(49,32) Stadium Village Lofts, an Apartment Building	(50, 32) Bonaventure Stadium, a Stadium	(51, 32) Bonaventure Stadium, a Stadium	The Quickway, a Bridge	Fitness Center	(54, 32) Easy Valley, a Corner Store	Dining Hall	(56, 32) Student Union Bookstore, a Library	(57, 32) Bell Dorms, a Dormitory	(58, 32) Raspberry Dorms, a Dormitory	(59, 32) Cropland, a Cropland	(60, 32) Cropland, a Cropland	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	(5,33) Cropland, a Cropland	(6,33) Cropland, a Cropland	(7,33) Biosphere Lake, a Lake	(8,33) Biosphere Lake, a Lake	(9,33) Biosphere Lake, a Lake	(10,33) Biosphere Lake, a Lake	(11,33) Biosphere Lake, a Lake	(12,33) Biosphere Lake, a Lake	(13,33) Cropland, a Cropland	(14,33) Cropland, a Cropland	(15,33) Cropland, a Cropland	(16,33) Cropland, a Cropland	(17,33) Equipment Site Phi, a Barn	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(22,33) Cropland, a Cropland	(23,33) The Battalion Building, an Apartment Building	(24,33) Apps Place, an Apartment Building	(25,33) Half Mast House, an Apartment Building	(26,33) Courtland Square, an Apartment Building	(27, 33) Courtland Square, an Apartment Building	(28, 33) Joiner Industries Warehouse, a Warehouse	(29, 33) Conus Design, an Office Building	(30, 33) Saint Oregano's Cathedral, a Church	(31, 33) The Quickway, a Bridge	(32, 33) Walbogs, a Mall	(33, 33) Midland Articles, an Office Building	(34, 33) The Pratt, a Hotel	(35, 33) Bacon Station, a Restaurant	(36, 33) Colonial Narrows Bridge, a Bridge	Docks	Lake	Lake	Lake	Lake	(42,33) Upper Panacea, a Lake	(43,33) Upper Panacea, a Lake	(44,33) Upper Panacea, a Lake	(45,33) Upper Panacea, a Lake	(46,33) Old Stone Bridge, a Bridge	(47,33) Hidden Cove Park, a Forest	(48,33) Hidden Cove Park, a Forest	(49,33) Stadium Circle, a Townhouse	(50,33) Stadium Village Apartments, an Apartment Building	(51, 33) The Quickway, a Bridge	(52,33) Campus Preschool, a School	(53,33) Hostile Environments Simulation Center, an University	(54,33) School of Fabrication, an University	(55,33) Student Union, a Supermarket	(56,33) Great Eastern Spur, a Mountain	(57, 33) Globe Dorms, a Dormitory	(58, 33) Atlas View Lofts, an Apartment Building	(59, 33) Agricenter, a Barn	(60, 33) Cropland, a Cropland	Biodome, a Biodome Wall										
			Biodome, a Biodome Wall	Biodome, a Biodome Wall	(6,34) Orchard, an Orchard	(7,34) Biosphere Lake, a Lake	(8,34) Biosphere Lake, a Lake	(9,34) Biosphere Lake, a Lake	(10,34) Biosphere Lake, a Lake	(11,34) Orchard, an Orchard	(12,34) Orchard, an Orchard	(13,34) Orchard, an Orchard	(14,34) Orchard, an Orchard	(15,34) Orchard, an Orchard	(16,34) Orchard, an Orchard	Biodome, a Biodome Wall	Biodome, a Biodome Wall			Biodome, a Biodome Wall	(22,34) Grassland, a Grassland	(23,34) Mizuki Flats, an Apartment Building	(24,34) Guevara Housing Co-op, an Apartment Building	(25,34) Decorticans Lounge, an Apartment Building	(26,34) Courtland Square, an Apartment Building	(27, 34) Courtland Square, an Apartment Building	(28, 34) Joiner Industries Warehouse, a Warehouse	(29, 34) Joiner Industries Warehouse, a Warehouse	(30, 34) B3GALTL INC., an Office Building	(31, 34) First Peoples Bank of Praxis, a Bank	(32, 34) The Quickway, a Bridge	(33, 34) Hub Hub, a Parking Garage	Supermarket	Office Building	Lake	Bridge	Lake	Lake	Lake	(41,34) Upper Panacea, a Lake	(42,34) Upper Panacea, a Lake	(43,34) Upper Panacea, a Lake	(44,34) Upper Panacea, a Lake	(45,34) Old Stone Bridge, a Bridge	(46,34) Upper Panacea, a Lake	(47,34) Hidden Cove Beach, a Beach	(48,34) Hidden Cove Park, a Forest	(49,34) Athletic Fields, a Park	(50,34) The Quickway, a Bridge	(51,34) Cordillera Landscape Arboretum, a Field	(52,34) Agronomy Greenhouses, a Greenhouse	(53,34) School of Agriculture, an University	(54,34) Center for Building Trades, an University	(55,34) Student Union, a Hotel	(56,34) Great Eastern Spur, a Mountain	(57, 34) Mount Atlas, a Mountain Summit	(58, 34) Chamisa Lane, a House	(59, 34) Parasol Street, a House	(60, 34) Cropland, a Cropland	Biodome, a Biodome Wall										
				Biodome, a Biodome Wall	(6,35) Cropland, a Cropland	(7,35) Cropland, a Cropland	(8,35) Biosphere Lake, a Lake	(9,35) Biosphere Lake, a Lake	(10,35) Biodiversity Site Lambda, a Hatchery	(11,35) Cropland, a Cropland	(12,35) Cropland, a Cropland	(13,35) Cropland, a Cropland	(14,35) Cropland, a Cropland	(15,35) Cropland, a Cropland	(16,35) Cropland, a Cropland	Biodome, a Biodome Wall				Biodome, a Biodome Wall	(22,35) Grassland, a Grassland	(23,35) Qaryat Cemetery, a Cemetery	(24,35) Qaryat Mosque, a Mosque	(25,35) Qaryat Cemetery, a Cemetery	(26,35) The Mausoleum, a Bar	(27,35) Bhairavi Partners, an Office Building	(28, 35) Mosaic Solutions, an Office Building	(29, 35) Freedom Industries, an Office Building	(30, 35) Nupserha LLC, an Office Building	(31, 35) Vergil's, a Gravel Parking Lot	(32, 35) First Praxis Bank, a Bank	(33, 35) The Quickway, a Bridge	Gas Station	Lake	Lake	Lake	Bridge	Beach	(40,35) Minglewood Lighthouse, a Lighthouse	(41,35) Inner Greenway Beach, a Beach	(42,35) Inner Greenway Beach, a Beach	(43,35) Inner Greenway Beach, a Beach	(44,35) Old Stone Bridge, a Bridge	(45,35) Waterfront Marina, a Docks	(46,35) Upper Panacea, a Lake	(47,35) Upper Panacea, a Lake	(48,35) University Extension, an University	(49,35) The Quickway, a Bridge	(50,35) Cordillera Landscape Arboretum, a Forest	(51,35) Chorus Frog Pond, a Pond	(52,35) Cordillera Landscape Arboretum, a Forest	(53,35) The Anchorage, a Bar	(54,35) Chi Chi Chi, a Mansion	(55,35) Quickstop Drugs, a Pharmacy	(56,35) Great Eastern Spur, a Mountain	(57, 35) Great Eastern Spur, a Mountain	(58, 35) Great Eastern Spur, a Mountain	(59, 35) Pura Vida Vineyard, a Chateau	(60, 35) Pura Vida Orchard, an Orchard	Biodome, a Biodome Wall										
				Biodome, a Biodome Wall	Biodome, a Biodome Wall	(7,36) Cropland, a Cropland	(8,36) Cropland, a Cropland	(9,36) Cropland, a Cropland	(10,36) Cropland, a Cropland	(11,36) Cropland, a Cropland	(12,36) Field, a Field	(13,36) Field, a Field	(14,36) Field, a Field	(15,36) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall				Biodome, a Biodome Wall	Biodome, a Biodome Wall	(23,36) Grassland, a Grassland	(24,36) Suhur Bakery, a Bakery	(25,36) Mithal House, an Apartment Building	(26,36) Paranerita, an Apartment Building	(27,36) Aster Apartments, an Apartment Building	(28, 36) Gloster Breakdown, an Office Building	(29, 36) West Area Care, a Hospital	(30, 36) West Area Care, a Hospital	(31, 36) Flare Star Imaging, an Office Building	(32, 36) The Workshop, a Coffee Shop	(33, 36) Sink Industrial Expansion Site, an Empty Lot	The Quickway, a Bridge	Lake	Lake	Lake	(38,37), Lake	Beach	(40,36) Gateway Park, a Park	(41,36) Gateway Park, a Park	(42,36) Gateway Park, a Park	(43,36) Gateway Park, a Forest	(44,36) Waterfront Marina, a Docks	(45,36) Upper Panacea, a Lake	(46,36) Upper Panacea, a Lake	(47,36) Upper Panacea, a Lake	(48,36) The Quickway, a Bridge	(49,36) Museum of Aspirations, a Museum	(50,36) Economics, an University	(51,36) Cordillera Landscape Arboretum, a Forest	(52,36) Mathematics, an University	(53,36) Fraternity of Wondercraft, a Mansion	(54,36) Fulbright Dorms, a Dormitory	(55,36) Great Eastern Spur, a Mountain	(56,36) Great Eastern Spur, a Mountain	(57, 36) Montagne Estate, a Chateau	(58, 36) Great Eastern Spur, a Mountain	(59, 36) Pura Vida Yineyard, a Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall										
					Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	(9,37) Orchard, an Orchard	(10,37) Orchard, an Orchard	(11,37) Orchard, an Orchard	(12,37) Field, a Field	(13,37) Field, a Field	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall						Biodome, a Biodome Wall	(23,37) Cropland, a Cropland	(24,37) Country Heights, an Apartment Building	(25,37) Greene Suites, an Apartment Building	(26,37) Village Plaza, an Apartment Building	(27,37) Warburton Salvage Surplus, a Warehouse	(28, 37) Walburton Salvage Surplus, a Warehouse	(29, 37) Jungle Distributors, an Office Building	(30, 37) Julius' Cupboard, a Corner Store	(31, 37) Burnett Waves, an Office Building	(32, 37) Point Source Conuslting, an Office Building	(33, 37) Sink Industrial, a Factory	Lake	The Quickway, a Bridge	Lake	Lake	(38, 37) St, Dominic's Cathedral, a Church	Royalston Center, a Skyscraper	Restaurant	(41,37) Gateway Park, a Park	(42,37) Disco Inferno, a Nightclub	(43,37) Gateway Park, a Forest	(44,37) Waterfront Marina Club, a Mansion	(45,37) Upper Panacea, a Lake	(46,37) Upper Panacea, a Lake	(47,37) The Quickway, a Bridge	(48,37) Upper Panacea, a Lake	(49,37) Alumni Association, an Office Building	(50,37) School of Business, an University	(51,37) Cordillera Landscape Arboretum, a Forest	(52,37) Philosophy, an University	(53,37) Honors Administration, an Office Building	(54,37), MacArthur Dorms, a Dormitory	(55,37), Hotel Eclaire, a Hotel	(56,37) Indigo Towers, an Apartment Building	(57, 37) Convenient Deals, a Corner Store	(58, 37) Great Eastern Spur, a Mountain	(59, 37) Great Eastern Spur, a Mountain	Biodome, a Biodome Wall											
							Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall	Biodome, a Biodome Wall								Biodome, a Biodome Wall	(23,38) Cropland, a Cropland	(24,38) Country Heights, an Apartment Building	(25,38) Windy Reaches, an Apartment Building	(26,38) The Empty Shell, a Gun Store	(27,38) Warburton Salvage, a Junkyard	(28, 38) Malutka Manufacturing Storage and Distribution, a Warehouse	(29, 38) First Holford Designs, an Office Building	(30, 38) New Edge Editing, a Genetic Engineering Clinic	(31, 38) Nimishamba Therapy, an Office Building	(32, 38) LineaR VisionS, an Office Building	(33, 38) Sink Industrial Docks, a Docks	Lake	Lake	The Quickway, a Bridge	Pie Palace, a Bakery	Oakwood Court Hotel, a Hotel	(39, 38) Cordillera Chase Couture, a Costume Shop	(40, 38) CordilleraBank Center, an Office Building	(41,38) Gateway Park, a Park	(42,38) Gateway Plaza, a Hotel	(43,38) Pharos Tower, a Skyscraper	(44,38) NightsInn Lux Edition, a Hotel	(45,38) Down by the Riverside, a Bar	(46,38) The Quickway, a Bridge	(47,38) Upper Panacea, a Lake	(48,38) Upper Panacea, a Lake	(49,38) Upper Panacea, a Lake	(50,38) Hall of Academic Records, an Office Building	(51,38) Rosetta Library, a Library	(52,38) Rosetta Library, a Library	(53,38) Communications Studies, an University	(54,38) Nobel Dorms, a Dormitory	(55,38) Pritzker Dorms, a Dormitory	(56, 38) The Aspiration, an Apartment Building	(57, 38) Dwell Street, a House	(58, 38) Campus Security, a Police Station	(59, 38) Great Eastern Spur, a Mountain	Biodome, a Biodome Wall											
																					Biodome, a Biodome Wall	Biodome, a Biodome Wall	(24,39) Cropland, a Cropland	(25,39) Dome Security Outpost, a Police Station	(26,39) Steel Gardens, an Apartment Building	(27,39) Warburton Salvage, a Junkyard	(28, 39) Malutka Manufacturing Storage and Distribution, a Warehouse	(29, 39) Ricardo Goods, a Hardware Store	(30, 39) The Mendel Center, an Office Building	(31, 39) 🅿️ inside (to) Praxis Hydropower, a Power Plant	(32, 39) Upper Panacea, a Lake	(33, 39) Upper Panacea, a Lake	(34, 39) Upper Panacea, a Lake	(35, 39) Minglewood Hydropower, Power Plant	Seegson Corporation, an Office Building	The Quickway, a Bridge	The Palazzo Hotel, a Hotel	(39, 39) Palisade Gallery, a Mall	(40, 39) Gold Crown Pub, a Bar	(41,39) Gateway Park, a Park	(42,39) Stellar Coffee, a Coffee Shop	(43,39) Transit Facilities Center, a Gas Station	(44,39) Twenty-Five Seven, a Corner Store	(45,39) The Quickway, a Bridge	(46,39) Gun Emporium, a Gun Store	(47,39) Gun Emporium, a Gun Store	(48,39) Upper Panacea, a Lake	(49,39) Upper Panacea, a Lake	(50,39) Upper Panacea, a Lake	(51,39) Rosetta Center for the Soul, a Shrine 🅿️ Portal to Elysium	(52,39) Rosetta Library, a Library	(53,39) Theology, an University	(54,39) Stellar Coffee, a Coffee Shop	(55,39) Urban Response Team, a Fire Station	(56,39) The Impression, an Apartment Building	(57, 39) Shelter Avenue, a House	(58, 39) Campus Security, a Police Station	Biodome, a Biodome Wall	Biodome, a Biodome Wall											
																						Biodome, a Biodome Wall	(24,40) Cropland, a Cropland	(25,40) Glencoe Court, a House	(26,40) Steel Gardens, an Apartment Building	(27,40) Warburton Salvage, a Junkyard	(28, 40) Malutka Manufacturing, a Factory	(29, 40) Second Holford Designs, an Office Building	(30, 40) Mostar Park, a Park	(31, 40) Upper Panacea, a Lake	(32, 40) Upper Panacea, a Lake	(33, 40) Upper Panacea, a Lake	(34, 40) Oculus Corporation, an Office Building	(35, 40) Xenox Corporation, an Office Building	(36, 40) Intercolonial Business Machines, an Office Building	Big Pizza Pie, an Restaurant	The Quickway, a Bridge	(39, 40) Palisade Gallery, a Mall	(40, 40) Palisade Gallery, a Mall	(41,40) Gateway Park, a Park	(42,40) Han Shin Biogenetics Centre, a Genetic Engineering Clinic	(43,40) First Colonial Bank, a Bank	(44,40) The Quickway, a Bridge	(45,40) Dome Security South Precinct, a Police Station	(46,40) The Bridget Foundation, an Office Building	(47,40) Olympus Electronics, an Office Building	(48,40) Riverside Park, a Forest	(49,40) Upper Panacea, a Lake	(50,40) Upper Panacea, a Lake	(51,40) Upper Panacea, a Lake	(52,40) School of Civic Policy, an University	(53,40) Admissions, an Office Building	(54,40) College Way Hydropower, a Power Plant 🅿️	(55,40) Dignitas Tower, an Apartment Building	(56,40) Home Street, a House	(57,40) Chalet Street, a Mansion	(58, 40) Cropland, a Cropland	Biodome, a Biodome Wall												
																						Biodome, a Biodome Wall	Biodome, a Biodome Wall	(25,41) Cropland, a Cropland	(26,41) The Fragrant Feline, a Bar	(27,41) Warburton Salvage, a Junkyard	(28,41) The Crib, an Apartment Building	(29,41) Upper Panacea, a Lake	(30, 41) Upper Panacea, a Lake	(31, 41) Mostar Park Bridge, a Bridge	(32, 41) Upper Panacea, a Lake	(33, 41) Detweiler Genetics Research, an Office Building	(34, 41) Seawaters Office Park, an Office Building	Sports Medicine Center, a Fitness Center	The Prestige, an Apartment Building	Lifestyle Lofts, an Apartment Building	High Life Tower, an Apartment Building	(39,41) The Quickway, a Bridge	(40, 41) Palisade Gallery, a Mall	(41,41) Gateway Park, a Park	(42,41) Central Court of Justice, a Courthouse	(43,41) The Quickway, a Bridge	(44,41) Kagawa Park, a Park	(45,41) Port Haven Conservatory, a Greenhouse	(46,41) Gold Coast Investments, an Office Building	(47,41) Olympic Avenue, a Townhouse	(48,41) Everest Street, a Mansion	(49,41) Riverside Park, a Forest	(50,41) Upper Panacea, a Lake	(51,41) Stillwater Bridge, a Bridge	(52,41) Upper Panacea, a Lake	(53,41) Upper Panacea, a Lake	(54,41) Apex Lofts, an Apartment Building	(55,41) Congregation Beth El, a Synagogue	(56,41) Castle Lane, a Mansion	(57,41) Cropland, a Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall												
																							Biodome, a Biodome Wall	(25,42) Cropland, a Cropland	(26,42) Tiger Avenue, a House	(27,42) Empire Rooms, an Apartment Building	(28,42) Hi Street, an Apartment Building	(29,42) Hoi Street, a House	(30, 42) Upper Panacea, a Lake	(31, 42) Upper Panacea, a Lake	(32, 42) Medtech Solutions, an Office Building	(33, 42) Great Deal Foods, a Supermarket	(34, 42) Walker Park, a Stadium	Walker Park, a Stadium	Miller's Sports Bar and Grill, a Restaurant	Baker Stacks, an Apartment Building	(38, 42) Club Elysium, a Nightclub	One small Step, a Shoe Shop	(40,42) The Quickway, a Bridge	(41,42) Gateway Park, a Park	(42,42) The Quickway, a Bridge	(43,42) Tentpole Outfitters, a Sporting Goods Store	(44,42) Kagawa Park, a Park	(45,42) Conrad Resource Exploration, an Office Building	(46,42) Mossack & Foseca, an Office Building	(47,42) Carpathia Avenue, a Townhouse	(48,42) Pike Street, a Townhouse	(49,42) Denali Street, a Mansion	(50,42) Riverside Park, a Forest	(51,42) Upper Panacea, a Lake	(52,42) Upper Panacea, a Lake	(52,42) Great Indoors, a Gun Store	(54,42) Abode Avenue, a House	(55,42) Pueblo Street, a Mansion	(56,42) Tottering Heights, a Mountain	(57,42) Tottering Heights, a Mountain	Biodome, a Biodome Wall													
																							Biodome, a Biodome Wall	Biodome, a Biodome Wall	(26,43) Cropland, a Cropland	(27,43) Sidewinder Way, a House	(28,43) Freshmart, a Corner Store	(29,43) Legacy Lofts, an Apartment Building	(30,43) Allegheny Street, a House	(31,43) Upper Panacea, a Lake	(32, 43) Andalusia Street, a Townhouse	(33, 43) Labrador Avenue, a Townhouse	(34, 42) Walker Park, a Stadium	Walker Park, a Stadium	Apartment Building	Hotel	Pond	Pond	(40,43) Convenient Drugs, a Pharmacy	(41,43) The Quickway, a Bridge	(42,43) Munshi Medical Center, a Hospital	(43,43) Munshi Medical Center, a Hospital	(44,43) Marq's Home Supplies, a Hardware Store	(45,43) South Quadrant Response Team, a Fire Station	(46,43) Pond, a Pond	(47,43) Rainier Avenue, a Townhouse	(48,43) Shasta Street, a Townhouse	(49,43) Appalachian Street, a Townhouse	(50,43) Port Haven Hydropower, a Power Plant 🅿️	(51,43) Upper Panacea, a Lake	(52,43) South East Artist Loft, an Apartment Building	(53,43) Maven Pointe, an Apartment Building	(54,43) Domicile Drive, a House	(55,43) Totterham Estate, a Chateau	(56,43) Tottering Heights, a Mountain	Biodome, a Biodome Wall	Biodome, a Biodome Wall													
																								Biodome, a Biodome Wall	Biodome, a Biodome Wall	(27,44) Cropland, a Cropland	(28,44) Armitage Preparatory, a School	(29,44) The Overlook, an Apartment Building	(30,44) Nantucket Avenue, a House	(31,44) Cafe Arabica, a Coffee Shop	(32,44) Gibraltar Court, a Townhouse	(33,44) Timbuktu Circle, a Townhouse	(34,44) Brittany Street, a Townhouse	(35,44) Ragusa Circle, a Townhouse	(36,44) Cordillera Central Library, a Library	(37,44) Cordillera Central Library, a Library	Pond	Pond	(40,44) Bridgewater High School, a School	(41,44) The Quickway, a Bridge	(42,44) Port Haven Convention Center, a Hotel	(43,44) The Aquila, an Apartment Building	(44,44) Unity Auto Depot, a Parking Garage	(45,44) Stateroom Lofts, an Apartment Building	(46,44) Pond, a Pond	(47,44) Pond, a Pond	(48,44) Matterhorn Court, a Townhouse	(49,44) Tamaranch Lane, a Townhouse	(50,44) Hawk Point Foods, a Supermarket	(51,44) Distinction Lofts, an Apartment Building	(52,44) Hearth Towers, an Apartment Building	(53,44) Hypermile, a Gas Station	(54,44) Adriatic Court, a Mansion	(55,44) Cropland, a Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall														
																									Biodome, a Biodome Wall	Biodome, a Biodome Wall	(28,45) Cropland, a Cropland	(29,45) Tortuga Street, a House	(30,45) Speedy Stop, a Gas Station	(31,45) Ambience Towers, an Apartment Building	(32,45) Dome Security Outpost, a Police Station	(33,45) Borneo Avenue, a House	(34,45) Aswan Avenue, a Townhouse	(35,45) Svalbard Street, a Townhouse	(36,45) Cordillera Central Library, a Library	(37,45) Cordillera Central Library, a Library	(37,46) Ross Park Zoo, a Zoo	(39, 45) Life Science Museum, a Museum	(40,45) State Street, a Townhouse	(41,45) Mingelwood Transporter, a Transporter	(42,45) Port Haven Convention Center, a Hotel	(43,45) Livingstone Lofts, an Apartment Building	(44,45) BioTools Sales and Storage, a Warehouse	(45,45) BioTools Sales and Storage, a Warehouse	(46,45) BioTools Manufacturing, a Factory	(47,45) Pond, a Pond	(48,45) Kohala Street, a Townhouse	(49,45) The Maverick, an Apartment Building	(50,45) Drinkwater Middle School, a School	(51,45) Caspian Avenue, a House	(52,45) Bering Street, a House	(53,45) Malacca Circle, a House	(54,45) Cropland, a Cropland	Biodome, a Biodome Wall	Biodome, a Biodome Wall															
